"comm","year","month","quantity"
"LILLE",1847,3,3529
"LILLE",1850,10,2704
"BEAUVAIS",1825,3,816
"BEAUVAIS",1830,1,1076
"BEAUVAIS",1835,3,1088
"BEAUVAIS",1840,1,1230
"BEAUVAIS",1845,3,1130
"BEAUVAIS",1847,1,1180
"BEAUVAIS",1847,3,3812
"BEAUVAIS",1850,10,2244
"FORMERIE",1840,1,120
"FORMERIE",1845,3,146
"FORMERIE",1847,1,354
"FORMERIE",1847,3,336
"FORMERIE",1850,10,238
"GRDVILLIER",1825,3,160
"GRDVILLIER",1830,1,185
"GRDVILLIER",1835,3,280
"GRDVILLIER",1840,1,195
"GRDVILLIER",1845,3,870
"GRDVILLIER",1847,1,990
"GRDVILLIER",1847,3,760
"GRDVILLIER",1850,10,640
"MERU",1840,1,911
"MERU",1845,3,88
"MERU",1847,1,83
"MERU",1847,3,336
"MERU",1850,10,470
"NOAILLES",1840,1,34
"NOAILLES",1845,3,35
"NOAILLES",1847,1,50
"NOAILLES",1847,3,48
"NOAILLES",1850,10,30
"ALENCON",1825,3,1171
"ALENCON",1830,1,1116
"ALENCON",1835,3,882
"ALENCON",1840,1,877
"ALENCON",1845,3,1317
"ALENCON",1847,1,1229
"ALENCON",1847,3,942
"ALENCON",1850,10,443
"SEES",1825,3,414
"SEES",1830,1,386
"SEES",1835,3,145
"SEES",1840,1,706
"SEES",1845,3,1116
"SEES",1847,1,570
"SEES",1847,3,947
"SEES",1850,10,400
"ARGENTAN",1825,3,505
"ARGENTAN",1830,1,366
"ARGENTAN",1835,3,478
"ARGENTAN",1840,1,570
"ARGENTAN",1845,3,632
"ARGENTAN",1847,1,1037
"ARGENTAN",1847,3,1069
"ARGENTAN",1850,10,442
"BRIOUZE",1825,3,170
"BRIOUZE",1830,1,105
"BRIOUZE",1835,3,160
"ECOUCHE",1825,3,260
"ECOUCHE",1830,1,316
"ECOUCHE",1835,3,253
"ECOUCHE",1840,1,170
"ECOUCHE",1845,3,310
"ECOUCHE",1847,1,345
"ECOUCHE",1847,3,445
"ECOUCHE",1850,10,284
"GARE",1825,3,152
"GARE",1830,1,150
"GARE",1835,3,120
"GARE",1840,1,110
"GARE",1845,3,150
"GARE",1847,1,174
"GARE",1847,3,178
"GARE",1850,10,142
"LE MERLERA",1825,3,134
"LE MERLERA",1830,1,95
"LE MERLERA",1835,3,166
"LE MERLERA",1840,1,90
"LE MERLERA",1845,3,116
"LE MERLERA",1847,1,176
"LE MERLERA",1847,3,158
"LE MERLERA",1850,10,50
"ARRAS",1825,3,1533
"ARRAS",1830,1,2502
"ARRAS",1835,3,3590
"ARRAS",1840,1,3558
"ARRAS",1845,3,5537
"ARRAS",1847,1,5380
"ARRAS",1847,3,5791
"ARRAS",1850,10,7597
"BAPEAUNE",1835,3,39
"BAPEAUNE",1840,1,79
"BAPEAUNE",1845,3,121
"BAPEAUNE",1847,1,91
"BAPEAUNE",1847,3,281
"BETHUNE",1825,3,7920
"BETHUNE",1830,1,2115
"BETHUNE",1835,3,2398
"BETHUNE",1840,1,1320
"BETHUNE",1845,3,2050
"BETHUNE",1847,1,2073
"BETHUNE",1847,3,1700
"BETHUNE",1850,10,2000
"CARVIN",1825,3,340
"CARVIN",1830,1,472
"CARVIN",1835,3,451
"CARVIN",1840,1,469
"CARVIN",1845,3,592
"CARVIN",1847,1,531
"CARVIN",1847,3,679
"CARVIN",1850,10,753
"BOULOGNE",1825,3,438
"BOULOGNE",1830,1,504
"BOULOGNE",1835,3,432
"BOULOGNE",1840,1,542
"BOULOGNE",1845,3,536
"BOULOGNE",1847,1,140
"BOULOGNE",1847,3,924
"BOULOGNE",1850,10,475
"CLERMONT",1825,3,1181
"CLERMONT",1830,1,1677
"CLERMONT",1835,3,2660
"CLERMONT",1840,1,3675
"CLERMONT",1845,3,1104
"CLERMONT",1847,1,1787
"CLERMONT",1847,3,1966
"CLERMONT",1850,10,1299
"BILLOM",1825,3,840
"BILLOM",1830,1,49
"BILLOM",1835,3,550
"BILLOM",1840,1,480
"BILLOM",1845,3,450
"BILLOM",1847,1,390
"BILLOM",1847,3,390
"BILLOM",1850,10,450
"RIOM",1825,3,3225
"RIOM",1830,1,470
"RIOM",1835,3,3115
"RIOM",1840,1,676
"RIOM",1845,3,600
"RIOM",1847,1,600
"RIOM",1847,3,600
"RIOM",1850,10,1250
"AIGUEPERSE",1825,3,96
"AIGUEPERSE",1830,1,288
"AIGUEPERSE",1835,3,390
"AIGUEPERSE",1840,1,780
"AIGUEPERSE",1845,3,640
"AIGUEPERSE",1847,1,930
"AIGUEPERSE",1847,3,1340
"AIGUEPERSE",1850,10,760
"THIERS",1825,3,300
"THIERS",1830,1,102
"THIERS",1835,3,135
"THIERS",1840,1,90
"THIERS",1845,3,82
"THIERS",1847,1,243
"THIERS",1847,3,175
"THIERS",1850,10,91
"MARINGUES",1830,1,406
"MARINGUES",1835,3,323
"MARINGUES",1840,1,419
"MARINGUES",1845,3,1160
"MARINGUES",1847,1,2080
"MARINGUES",1847,3,1508
"MARINGUES",1850,10,741
"PAU",1825,3,900
"PAU",1830,1,450
"PAU",1835,3,1120
"PAU",1840,1,930
"PAU",1845,3,2250
"PAU",1847,1,1298
"PAU",1847,3,1740
"PAU",1850,10,623
"GARLIN",1825,3,340
"GARLIN",1830,1,375
"GARLIN",1835,3,500
"GARLIN",1840,1,660
"GARLIN",1845,3,560
"GARLIN",1847,1,340
"GARLIN",1847,3,850
"GARLIN",1850,10,150
"MORLAAS",1825,3,59
"MORLAAS",1830,1,32
"MORLAAS",1835,3,129
"MORLAAS",1840,1,210
"MORLAAS",1845,3,85
"MORLAAS",1847,1,15
"MORLAAS",1847,3,51
"MORLAAS",1850,10,30
"OLORON",1825,3,324
"OLORON",1830,1,142
"OLORON",1835,3,320
"OLORON",1840,1,224
"OLORON",1845,3,220
"OLORON",1847,1,110
"OLORON",1847,3,420
"OLORON",1850,10,160
"ARUDY",1825,3,30
"ARUDY",1830,1,28
"ARUDY",1835,3,28
"ARUDY",1840,1,34
"ARUDY",1845,3,33
"ARUDY",1847,1,33
"ARUDY",1847,3,31
"ARUDY",1850,10,18
"MONEIN",1825,3,80
"MONEIN",1830,1,80
"MONEIN",1835,3,100
"MONEIN",1840,1,90
"MONEIN",1845,3,13
"MONEIN",1847,1,42
"MONEIN",1847,3,128
"MONEIN",1850,10,82
"TARBES",1825,3,130
"TARBES",1830,1,316
"TARBES",1835,3,820
"TARBES",1840,1,380
"TARBES",1845,3,1010
"TARBES",1847,1,450
"TARBES",1847,3,1900
"TARBES",1850,10,860
"BAGNERE",1825,3,55
"BAGNERE",1830,1,50
"BAGNERE",1835,3,49
"BAGNERE",1840,1,90
"BAGNERE",1845,3,535
"BAGNERE",1847,1,30
"BAGNERE",1847,3,100
"BAGNERE",1850,10,20
"CERET",1825,3,68
"CERET",1830,1,84
"CERET",1835,3,90
"CERET",1840,1,87
"CERET",1845,3,73
"CERET",1847,1,10
"CERET",1847,3,10
"CERET",1850,10,95
"ARLES",1840,1,10
"ARLES",1845,3,36
"ARLES",1847,1,20
"ARLES",1847,3,30
"ARLES",1850,10,100
"ST-LOUP",1825,3,290
"ST-LOUP",1830,1,283
"ST-LOUP",1835,3,290
"ST-LOUP",1840,1,500
"ST-LOUP",1845,3,660
"ST-LOUP",1847,1,415
"ST-LOUP",1847,3,665
"ST-LOUP",1850,10,256
"LURE",1830,1,358
"LURE",1835,3,215
"LURE",1840,1,235
"LURE",1845,3,304
"LURE",1847,1,396
"LURE",1847,3,380
"LURE",1850,10,224
"LUXEUIL",1825,3,250
"LUXEUIL",1830,1,398
"LUXEUIL",1835,3,200
"LUXEUIL",1840,1,225
"LUXEUIL",1845,3,137
"LUXEUIL",1847,1,255
"LUXEUIL",1847,3,380
"LUXEUIL",1850,10,175
"MELISEY",1825,3,55
"MELISEY",1830,1,130
"MELISEY",1835,3,75
"MELISEY",1840,1,165
"MELISEY",1845,3,93
"MELISEY",1847,1,17
"MELISEY",1847,3,58
"MELISEY",1850,10,39
"VAUVILLERS",1830,1,53
"VAUVILLERS",1835,3,65
"VAUVILLERS",1840,1,305
"VAUVILLERS",1845,3,18
"VAUVILLERS",1847,1,95
"VAUVILLERS",1847,3,160
"VAUVILLERS",1850,10,390
"AUTUN",1825,3,238
"AUTUN",1830,1,45
"AUTUN",1835,3,530
"AUTUN",1840,1,287
"AUTUN",1845,3,548
"AUTUN",1847,1,352
"AUTUN",1847,3,1171
"AUTUN",1850,10,375
"COUCHES",1825,3,103
"COUCHES",1830,1,128
"COUCHES",1835,3,185
"COUCHES",1840,1,123
"COUCHES",1845,3,176
"COUCHES",1847,1,223
"COUCHES",1850,10,290
"CHALON/SAO",1825,3,74
"CHALON/SAO",1830,1,48
"CHALON/SAO",1835,3,72
"CHALON/SAO",1840,1,57
"CHALON/SAO",1845,3,116
"CHALON/SAO",1847,1,105
"CHALON/SAO",1847,3,166
"CHALON/SAO",1850,10,48
"GIVRY",1830,1,151
"GIVRY",1835,3,129
"GIVRY",1840,1,87
"GIVRY",1845,3,175
"GIVRY",1847,1,110
"GIVRY",1847,3,154
"GIVRY",1850,10,95
"LOUHANS",1825,3,68
"LOUHANS",1830,1,40
"LOUHANS",1835,3,250
"LOUHANS",1840,1,97
"LOUHANS",1845,3,633
"LOUHANS",1847,1,456
"LOUHANS",1847,3,1692
"LOUHANS",1850,10,220
"CLUNY",1825,3,54
"CLUNY",1830,1,162
"CLUNY",1835,3,108
"CLUNY",1840,1,84
"CLUNY",1845,3,246
"CLUNY",1847,1,75
"CLUNY",1847,3,90
"CLUNY",1850,10,140
"ST GENGOUX",1830,1,30
"ST GENGOUX",1845,3,61
"ST GENGOUX",1847,1,43
"ST GENGOUX",1847,3,141
"ST GENGOUX",1850,10,240
"MACON",1825,3,2400
"MACON",1830,1,606
"MACON",1835,3,2250
"MACON",1840,1,1845
"MACON",1845,3,1884
"MACON",1847,1,1590
"MACON",1847,3,762
"MACON",1850,10,921
"LE MANS",1825,3,656
"LE MANS",1830,1,430
"LE MANS",1835,3,550
"LE MANS",1840,1,352
"LE MANS",1845,3,590
"LE MANS",1847,1,397
"LE MANS",1847,3,994
"LE MANS",1850,10,635
"BALLON",1825,3,43
"BALLON",1830,1,39
"BALLON",1835,3,103
"BALLON",1840,1,88
"BALLON",1845,3,124
"BALLON",1847,1,62
"BALLON",1847,3,102
"BALLON",1850,10,190
"LOUE",1825,3,155
"LOUE",1830,1,200
"LOUE",1835,3,310
"LOUE",1840,1,175
"LOUE",1845,3,154
"LOUE",1847,1,185
"LOUE",1847,3,612
"LOUE",1850,10,180
"MONTFORT",1825,3,169
"MONTFORT",1830,1,112
"MONTFORT",1835,3,72
"MONTFORT",1840,1,48
"MONTFORT",1845,3,64
"MONTFORT",1847,1,55
"MONTFORT",1847,3,64
"MONTFORT",1850,10,69
"SILLE-LE-G",1825,3,200
"SILLE-LE-G",1830,1,90
"SILLE-LE-G",1835,3,110
"SILLE-LE-G",1840,1,200
"SILLE-LE-G",1845,3,380
"SILLE-LE-G",1847,1,384
"SILLE-LE-G",1847,3,850
"SILLE-LE-G",1850,10,820
"BAUMONT",1825,3,930
"BAUMONT",1830,1,400
"BAUMONT",1835,3,600
"BAUMONT",1840,1,480
"BAUMONT",1845,3,820
"BAUMONT",1847,1,670
"BAUMONT",1847,3,3450
"BAUMONT",1850,10,880
"BACQUEVILL",1825,3,444
"BACQUEVILL",1830,1,800
"BACQUEVILL",1835,3,920
"BACQUEVILL",1840,1,1816
"BACQUEVILL",1845,3,1600
"BACQUEVILL",1847,1,1400
"BACQUEVILL",1847,3,870
"BACQUEVILL",1850,10,1569
"DIEPPE",1825,3,736
"DIEPPE",1830,1,801
"DIEPPE",1835,3,486
"DIEPPE",1840,1,700
"DIEPPE",1845,3,1076
"DIEPPE",1847,1,1110
"DIEPPE",1847,3,1460
"DIEPPE",1850,10,1610
"ENVERMEU",1825,3,580
"ENVERMEU",1830,1,480
"ENVERMEU",1835,3,600
"ENVERMEU",1840,1,528
"ENVERMEU",1847,1,480
"ENVERMEU",1847,3,502
"ENVERMEU",1850,10,510
"EU",1825,3,552
"EU",1830,1,572
"EU",1835,3,588
"EU",1840,1,676
"EU",1845,3,408
"EU",1847,1,582
"EU",1847,3,920
"EU",1850,10,585
"TOTES",1825,3,463
"TOTES",1830,1,586
"TOTES",1835,3,997
"TOTES",1840,1,602
"TOTES",1845,3,1027
"TOTES",1847,1,871
"TOTES",1847,3,701
"TOTES",1850,10,811
"BOLBEC",1825,3,686
"BOLBEC",1830,1,696
"BOLBEC",1835,3,904
"BOLBEC",1845,3,1457
"BOLBEC",1847,1,2032
"BOLBEC",1847,3,1209
"BOLBEC",1850,10,1334
"FECAMP",1825,3,337
"FECAMP",1830,1,675
"FECAMP",1835,3,1010
"FECAMP",1840,1,812
"FECAMP",1845,3,985
"FECAMP",1847,1,1214
"FECAMP",1847,3,1362
"FECAMP",1850,10,1484
"ROUEN",1825,3,648
"ROUEN",1830,1,362
"ROUEN",1835,3,315
"ROUEN",1840,1,292
"ROUEN",1845,3,524
"ROUEN",1847,1,754
"ROUEN",1847,3,2888
"ROUEN",1850,10,1257
"COULOMMIER",1825,3,510
"COULOMMIER",1830,1,658
"COULOMMIER",1835,3,340
"COULOMMIER",1840,1,724
"COULOMMIER",1845,3,300
"COULOMMIER",1847,1,363
"COULOMMIER",1847,3,1239
"COULOMMIER",1850,10,322
"LA FERTE-G",1825,3,1190
"LA FERTE-G",1830,1,1150
"LA FERTE-G",1835,3,455
"LA FERTE-G",1840,1,953
"LA FERTE-G",1845,3,675
"LA FERTE-G",1847,1,220
"LA FERTE-G",1847,3,490
"LA FERTE-G",1850,10,576
"BEAUMONT",1825,3,3
"BEAUMONT",1830,1,6
"BEAUMONT",1835,3,37
"BEAUMONT",1840,1,10
"BEAUMONT",1845,3,9
"BEAUMONT",1847,1,18
"BEAUMONT",1847,3,24
"BEAUMONT",1850,10,20
"EGREVILLE",1825,3,300
"EGREVILLE",1830,1,438
"EGREVILLE",1835,3,369
"EGREVILLE",1840,1,279
"EGREVILLE",1845,3,396
"EGREVILLE",1847,1,222
"EGREVILLE",1847,3,117
"EGREVILLE",1850,10,459
"MONTEREAU",1825,3,1819
"MONTEREAU",1830,1,1876
"MONTEREAU",1835,3,1090
"MONTEREAU",1840,1,1615
"MONTEREAU",1845,3,1601
"MONTEREAU",1847,1,1063
"MONTEREAU",1847,3,2067
"MONTEREAU",1850,10,1831
"MANTES",1825,3,516
"MANTES",1830,1,825
"MANTES",1835,3,570
"MANTES",1840,1,645
"MANTES",1845,3,735
"MANTES",1847,1,600
"MANTES",1847,3,1905
"MANTES",1850,10,840
"HOUDAN",1825,3,1941
"HOUDAN",1830,1,1340
"HOUDAN",1835,3,1020
"HOUDAN",1840,1,3000
"HOUDAN",1845,3,1800
"HOUDAN",1847,1,1050
"HOUDAN",1847,3,2100
"HOUDAN",1850,10,2010
"PONTOISE",1825,3,621
"PONTOISE",1830,1,555
"PONTOISE",1835,3,405
"PONTOISE",1840,1,324
"PONTOISE",1845,3,510
"PONTOISE",1847,1,357
"PONTOISE",1847,3,915
"PONTOISE",1850,10,337
"THOUARS",1825,3,80
"THOUARS",1830,1,65
"THOUARS",1835,3,175
"THOUARS",1840,1,100
"THOUARS",1845,3,350
"THOUARS",1847,1,43
"THOUARS",1847,3,75
"THOUARS",1850,10,90
"BRESSUIRE",1825,3,30
"BRESSUIRE",1830,1,20
"BRESSUIRE",1835,3,30
"BRESSUIRE",1840,1,6
"BRESSUIRE",1845,3,30
"BRESSUIRE",1847,1,65
"BRESSUIRE",1847,3,55
"BRESSUIRE",1850,10,30
"PARTENAY",1825,3,68
"PARTENAY",1830,1,52
"PARTENAY",1835,3,42
"PARTENAY",1840,1,56
"PARTENAY",1845,3,78
"PARTENAY",1847,1,56
"PARTENAY",1847,3,322
"PARTENAY",1850,10,134
"NIORT",1825,3,37
"NIORT",1830,1,62
"NIORT",1835,3,62
"NIORT",1840,1,42
"NIORT",1845,3,67
"NIORT",1847,1,192
"NIORT",1847,3,144
"NIORT",1850,10,158
"ABBEVILLE",1825,3,139
"ABBEVILLE",1830,1,494
"ABBEVILLE",1835,3,171
"ABBEVILLE",1840,1,882
"ABBEVILLE",1845,3,759
"ABBEVILLE",1847,1,810
"ABBEVILLE",1847,3,1500
"ABBEVILLE",1850,10,695
"GAMACHES",1825,3,116
"GAMACHES",1830,1,288
"GAMACHES",1835,3,88
"GAMACHES",1840,1,25
"GAMACHES",1845,3,20
"GAMACHES",1847,1,100
"GAMACHES",1847,3,210
"GAMACHES",1850,10,164
"ST VALERY",1825,3,58
"ST VALERY",1830,1,52
"ST VALERY",1835,3,43
"ST VALERY",1840,1,90
"ST VALERY",1845,3,112
"ST VALERY",1847,1,118
"ST VALERY",1847,3,94
"ST VALERY",1850,10,110
"AMIENS",1825,3,1303
"AMIENS",1830,1,1990
"AMIENS",1835,3,702
"AMIENS",1840,1,863
"AMIENS",1845,3,1010
"AMIENS",1847,1,1820
"AMIENS",1847,3,1485
"AMIENS",1850,10,1530
"CORBIE",1825,3,97
"CORBIE",1840,1,77
"CORBIE",1845,3,84
"CORBIE",1847,1,64
"CORBIE",1847,3,88
"CORBIE",1850,10,74
"OISEMONT",1835,3,120
"OISEMONT",1840,1,180
"OISEMONT",1845,3,246
"OISEMONT",1847,1,270
"OISEMONT",1847,3,292
"OISEMONT",1850,10,150
"ALBI",1825,3,665
"ALBI",1835,3,1505
"ALBI",1840,1,201
"ALBI",1845,3,679
"ALBI",1847,1,812
"ALBI",1847,3,1407
"REALMONT",1825,3,87
"REALMONT",1830,1,44
"REALMONT",1835,3,340
"REALMONT",1840,1,120
"REALMONT",1845,3,130
"REALMONT",1847,1,90
"REALMONT",1847,3,110
"REALMONT",1850,10,160
"CASTRES",1825,3,110
"CASTRES",1830,1,360
"CASTRES",1835,3,336
"CASTRES",1840,1,471
"CASTRES",1845,3,670
"CASTRES",1847,1,600
"CASTRES",1847,3,977
"CASTRES",1850,10,621
"GAILLAC",1825,3,35
"GAILLAC",1830,1,81
"GAILLAC",1835,3,75
"GAILLAC",1840,1,45
"GAILLAC",1845,3,73
"GAILLAC",1847,1,146
"GAILLAC",1847,3,187
"GAILLAC",1850,10,120
"RABASTENS",1825,3,25
"RABASTENS",1830,1,22
"RABASTENS",1835,3,65
"RABASTENS",1840,1,18
"RABASTENS",1845,3,18
"RABASTENS",1847,3,16
"RABASTENS",1850,10,20
"MONTAUBAN",1825,3,249
"MONTAUBAN",1830,1,24
"MONTAUBAN",1835,3,321
"MONTAUBAN",1840,1,132
"MONTAUBAN",1845,3,289
"MONTAUBAN",1847,1,77
"MONTAUBAN",1847,3,380
"MONTAUBAN",1850,10,123
"CAUSSADE",1825,3,115
"CAUSSADE",1830,1,119
"CAUSSADE",1835,3,68
"CAUSSADE",1840,1,95
"CAUSSADE",1845,3,15
"CAUSSADE",1847,1,36
"CAUSSADE",1847,3,44
"CAUSSADE",1850,10,55
"CAYLUS",1825,3,78
"CAYLUS",1830,1,60
"CAYLUS",1835,3,86
"CAYLUS",1840,1,34
"CAYLUS",1845,3,205
"CAYLUS",1847,1,65
"CAYLUS",1847,3,134
"CAYLUS",1850,10,125
"ST ANTONIN",1825,3,27
"ST ANTONIN",1830,1,25
"ST ANTONIN",1835,3,25
"ST ANTONIN",1840,1,50
"ST ANTONIN",1845,3,70
"ST ANTONIN",1847,1,58
"ST ANTONIN",1847,3,30
"ST ANTONIN",1850,10,110
"BRIGNOLES",1825,3,55
"BRIGNOLES",1830,1,17
"BRIGNOLES",1835,3,55
"BRIGNOLES",1840,1,41
"BRIGNOLES",1845,3,122
"BRIGNOLES",1847,1,45
"BRIGNOLES",1847,3,54
"BRIGNOLES",1850,10,35
"BARJOLS",1825,3,60
"BARJOLS",1830,1,60
"BARJOLS",1835,3,136
"BARJOLS",1840,1,227
"BARJOLS",1845,3,136
"BARJOLS",1847,3,102
"BARJOLS",1850,10,83
"COTIGNAC",1825,3,169
"COTIGNAC",1830,1,94
"COTIGNAC",1835,3,113
"COTIGNAC",1840,1,89
"COTIGNAC",1847,1,51
"COTIGNAC",1847,3,30
"COTIGNAC",1850,10,94
"ST MAXIMIN",1825,3,394
"ST MAXIMIN",1830,1,158
"ST MAXIMIN",1835,3,256
"ST MAXIMIN",1840,1,147
"ST MAXIMIN",1845,3,153
"ST MAXIMIN",1847,1,172
"ST MAXIMIN",1847,3,116
"ST MAXIMIN",1850,10,130
"RIANS",1825,3,40
"RIANS",1830,1,25
"RIANS",1835,3,100
"RIANS",1840,1,10
"RIANS",1845,3,35
"RIANS",1847,1,1
"RIANS",1847,3,29
"RIANS",1850,10,70
"APT",1825,3,212
"APT",1830,1,167
"APT",1835,3,244
"APT",1840,1,265
"APT",1845,3,178
"APT",1847,1,153
"APT",1847,3,110
"APT",1850,10,169
"PERTUIS",1825,3,135
"PERTUIS",1830,1,300
"PERTUIS",1835,3,155
"PERTUIS",1840,1,155
"PERTUIS",1845,3,245
"PERTUIS",1847,1,132
"PERTUIS",1847,3,191
"PERTUIS",1850,10,259
"AVIGNON",1825,3,1042
"AVIGNON",1830,1,1350
"AVIGNON",1835,3,1653
"AVIGNON",1840,1,1195
"AVIGNON",1845,3,792
"AVIGNON",1847,1,1044
"AVIGNON",1847,3,1440
"AVIGNON",1850,10,637
"FONTENAY",1825,3,120
"FONTENAY",1830,1,80
"FONTENAY",1835,3,110
"FONTENAY",1840,1,66
"FONTENAY",1845,3,142
"FONTENAY",1847,1,116
"FONTENAY",1847,3,100
"FONTENAY",1850,10,108
"LUCON",1825,3,30
"LUCON",1830,1,20
"LUCON",1835,3,21
"LUCON",1840,1,41
"LUCON",1845,3,118
"LUCON",1847,1,75
"LUCON",1847,3,162
"LUCON",1850,10,175
"POITIERS",1825,3,169
"POITIERS",1830,1,119
"POITIERS",1835,3,137
"POITIERS",1840,1,71
"POITIERS",1845,3,106
"POITIERS",1847,1,77
"POITIERS",1847,3,139
"POITIERS",1850,10,187
"CHATELLERA",1825,3,30
"CHATELLERA",1830,1,18
"CHATELLERA",1835,3,34
"CHATELLERA",1840,1,2
"CHATELLERA",1845,3,36
"CHATELLERA",1847,1,18
"CHATELLERA",1847,3,22
"CHATELLERA",1850,10,35
"CIVRAY",1825,3,99
"CIVRAY",1830,1,12
"CIVRAY",1835,3,29
"CIVRAY",1840,1,184
"CIVRAY",1845,3,271
"CIVRAY",1847,1,466
"CIVRAY",1847,3,905
"CIVRAY",1850,10,910
"BELLAC",1825,3,200
"LE DORAT",1825,3,400
"LE DORAT",1830,1,45
"LE DORAT",1835,3,24
"LE DORAT",1840,1,29
"LE DORAT",1847,3,45
"LE DORAT",1850,10,22
"BRUYERES",1825,3,136
"BRUYERES",1830,1,116
"BRUYERES",1835,3,188
"BRUYERES",1840,1,335
"BRUYERES",1845,3,200
"BRUYERES",1847,1,210
"BRUYERES",1847,3,233
"BRUYERES",1850,10,240
"CHARMES",1825,3,880
"CHARMES",1830,1,494
"CHARMES",1835,3,430
"CHARMES",1840,1,630
"CHARMES",1845,3,430
"CHARMES",1847,1,167
"CHARMES",1847,3,500
"CHARMES",1850,10,248
"EPINAL",1825,3,1319
"EPINAL",1830,1,765
"EPINAL",1835,3,740
"EPINAL",1840,1,1100
"EPINAL",1845,3,800
"EPINAL",1847,1,394
"EPINAL",1847,3,1080
"EPINAL",1850,10,245
"MIRECOURT",1825,3,500
"MIRECOURT",1830,1,190
"MIRECOURT",1835,3,610
"MIRECOURT",1840,1,1310
"MIRECOURT",1845,3,585
"MIRECOURT",1847,1,414
"MIRECOURT",1847,3,1690
"MIRECOURT",1850,10,500
"NEUFCHATEA",1825,3,367
"NEUFCHATEA",1830,1,606
"NEUFCHATEA",1835,3,170
"NEUFCHATEA",1840,1,900
"NEUFCHATEA",1845,3,447
"NEUFCHATEA",1847,1,170
"NEUFCHATEA",1847,3,355
"NEUFCHATEA",1850,10,386
"AUXERRE",1825,3,580
"AUXERRE",1830,1,317
"AUXERRE",1835,3,660
"AUXERRE",1840,1,757
"AUXERRE",1845,3,426
"AUXERRE",1847,1,745
"AUXERRE",1847,3,354
"AUXERRE",1850,10,710
"ST FLORENT",1840,1,961
"ST FLORENT",1845,3,3673
"ST FLORENT",1847,1,1013
"ST FLORENT",1847,3,1120
"ST FLORENT",1850,10,1848
"TOUEY",1840,1,179
"TOUEY",1845,3,319
"TOUEY",1847,1,113
"TOUEY",1847,3,416
"TOUEY",1850,10,202
"VERMENTON",1840,1,190
"VERMENTON",1845,3,157
"VERMENTON",1847,1,119
"VERMENTON",1847,3,88
"VERMENTON",1850,10,42
"BOURG",1855,1,1961
"BOURG",1855,10,3071
"BOURG",1860,1,2274
"BOURG",1865,1,1808
"BOURG",1870,1,1347
"BOURG",1875,1,1683
"BOURG",1880,3,749
"ST LAURENT",1855,1,1092
"ST LAURENT",1855,10,1479
"ST LAURENT",1860,1,978
"ST LAURENT",1865,1,402
"ST LAURENT",1870,1,858
"ST LAURENT",1875,1,2331
"ST LAURENT",1880,3,645
"PT DE VAUX",1855,1,786
"PT DE VAUX",1855,10,1425
"PT DE VAUX",1860,1,888
"PT DE VAUX",1865,1,540
"PT DE VAUX",1870,1,396
"PT DE VAUX",1875,1,1211
"PT DE VAUX",1880,3,258
"GEX",1855,1,32
"GEX",1855,10,37
"GEX",1860,1,29
"GEX",1865,1,30
"GEX",1870,1,22
"GEX",1875,1,22
"GEX",1880,3,20
"COLLONGES",1855,1,19
"COLLONGES",1855,10,43
"COLLONGES",1860,1,36
"ST QUENTIN",1855,1,589
"ST QUENTIN",1855,10,420
"ST QUENTIN",1860,1,148
"ST QUENTIN",1865,1,799
"ST QUENTIN",1870,1,530
"ST QUENTIN",1875,1,879
"ST QUENTIN",1880,3,550
"ST QUENTIN",1885,1,377
"VERVINS",1855,1,294
"VERVINS",1855,10,80
"VERVINS",1860,1,310
"VERVINS",1865,1,824
"VERVINS",1870,1,353
"LA CAPELLE",1855,1,149
"LA CAPELLE",1855,10,127
"LA CAPELLE",1860,1,110
"LA CAPELLE",1865,1,700
"LA CAPELLE",1870,1,799
"LA CAPELLE",1875,1,522
"LA CAPELLE",1880,3,808
"LA FERE",1855,1,1835
"LA FERE",1855,10,1747
"LA FERE",1860,1,1418
"LA FERE",1865,1,1783
"LA FERE",1870,1,331
"LA FERE",1875,1,65
"CHAUNY",1855,1,45
"CHAUNY",1855,10,48
"CHAUNY",1860,1,53
"CHAUNY",1865,1,40
"CHAUNY",1875,1,61
"CHAUNY",1880,3,81
"CHAUNY",1885,1,30
"SOISSONS",1855,1,2395
"SOISSONS",1855,10,1584
"SOISSONS",1860,1,1819
"SOISSONS",1865,1,1722
"SOISSONS",1870,1,2245
"SOISSONS",1875,1,4082
"SOISSONS",1880,3,2054
"SOISSONS",1885,1,3031
"MONTLUCON",1855,1,1106
"MONTLUCON",1855,10,790
"MONTLUCON",1860,1,510
"MONTLUCON",1865,1,779
"MONTLUCON",1870,1,595
"MONTLUCON",1875,1,575
"MONTLUCON",1880,3,253
"MONTLUCON",1885,1,207
"MTMARAULT",1855,1,305
"MTMARAULT",1855,10,380
"MTMARAULT",1860,1,135
"MTMARAULT",1865,1,172
"MTMARAULT",1870,1,120
"MTMARAULT",1875,1,332
"MTMARAULT",1880,3,341
"MTMARAULT",1885,1,116
"GANNAT",1855,1,1230
"GANNAT",1855,10,1000
"GANNAT",1860,1,1207
"GANNAT",1865,1,1681
"GANNAT",1870,1,4000
"GANNAT",1875,1,1705
"GANNAT",1880,3,650
"GANNAT",1885,1,578
"STPOURCAIN",1855,1,1660
"STPOURCAIN",1855,10,760
"STPOURCAIN",1860,1,1322
"STPOURCAIN",1865,1,1544
